site_code,site_name,customer,project_code,lat,lng,gps_radius_m,is_active
SITE-IMP-BKK-001,Sukhumvit 21 (Asok),AIS,AIS2601,13.7437,100.5598,300,true
SITE-IMP-BKK-002,Silom Complex,DTAC,DTAC2501,13.7245,100.5345,400,true
SITE-IMP-BKK-003,Phra Khanong BTS,TRUE,TRUE2502,13.7152,100.5897,300,true
SITE-IMP-BKK-004,Ratchada-Lat Phrao,AIS,AIS2601,13.8014,100.5736,500,true
SITE-IMP-CBR-001,Pattaya Beach North,TRUE,TRUE2502,12.9421,100.8821,500,true
SITE-IMP-CBR-002,Jomtien Beach Center,AIS,AIS2602,12.8954,100.8847,400,true
SITE-IMP-CBR-003,Sriracha Industrial,DTAC,DTAC2501,13.1734,100.9301,500,true
SITE-IMP-CBR-004,Bangsaen University,TRUE,TRUE2502,13.2823,100.9234,400,true
SITE-IMP-RYG-001,Rayong Industrial Estate,AIS,AIS2601,12.6845,101.2691,600,true
SITE-IMP-RYG-002,Map Ta Phut Port,DTAC,DTAC2501,12.7012,101.1567,500,true
SITE-IMP-CMI-001,Nimman Soi 1,AIS,AIS2601,18.7989,98.9697,400,true
SITE-IMP-CMI-002,Chiang Mai Airport Area,TRUE,TRUE2502,18.7681,98.9628,500,true
SITE-IMP-PKT-001,Patong Beach Tower,AIS,AIS2601,7.8965,98.2964,500,true
SITE-IMP-PKT-002,Phuket Town Center,DTAC,DTAC2501,7.8845,98.3923,400,true
SITE-IMP-OFFICE-HQ,ACE HQ Bangkok,ACE,OFFICE,13.7367,100.5230,200,true
